Unnamed: 0,review_id,user_id,business_id,stars,useful,funny,cool,text,date
1877318,kxH91OXPrY9e6rxwetBCWQ,-1awBy86Qgr3aN30_Z3xGw,I-nrEtjboBLoEvGiSAcmvw,5.0,0.0,0.0,1.0,"Wow wow wow.  The views are everything.  We all shared different cuts of meats and they were all delicious and cooked to perfection. The wine list offered a very nice selection from all the major wine regions. The craft cocktail list was over the top. Maybe a little too extra if you want my honest opinion. Nonetheless, this is a 5 star place with five star food and beverages. Service= 5 as well.",2018-09-11 18:51:44
1571799,qeGqqFxxnR-fscMgbaPf6w,-2nNiAnDaSbQayynsqgL6Q,3hrEWKJxJUwEBmzw8oUYHw,3.0,0.0,0.0,0.0,"I tried Brugge last night for the first time ever. It was alright. I'm not sure what I was expecting. Maybe I wasn't really expecting anything... Or maybe I was expecting more without really expecting anything in particular? 

I had heard that the mussels were delicious. I LOVE mussels, but I was alone in that boat, and the 2 pounds of muscle portion seemed like a bit much for me at the time, so I figured I would come back another time. I ended up ordering some sort of fruity beer. It was pretty good. VERY sweet and bitter. Almost wine-like, but good. After I had gorged myself on my dinner, I was glad that I had gotten the fruity beer because I don't think I would have been able to continue drinking any other type of beer with my stuffed belly. 

For dinner, well, the menu didn't leave much for me to actually give you a name of what I had. So. For dinner, I had some sort of meatball, and something (beer?) swiss cheese blah dee blah. Yeah. That was the name of it, or soemthing like that. Thank you for giving me a name to call in for short. And ordering it? Do I call it meatball and you just know before I finish? Or do I finish the whole name (or rather, construction of the meal) of it? 
All it all, it was okay. The bread was a bit stiff, as it was toasted, and swallowed the meatballs, cheese and sauce. 
The fries (OH, SORRY! Frites!- They were fries, really) were not special. The sauces were special, though. I ordered horseradish and sesame mayo. I usually feel kinda bad getting mayo- like I should be making a more healthy choice for myself, but I LOVE sesame. The horseradish was good, but man, that sesame mayo was GREAT! 

Really, the food was eh. The beer was pretty good (I'm sure I'll like the regular wheat. Actually, I tried the black wheat, and it was really good! )- The ambience was nice- I liked the atmosphere a lot, even if we were getting eaten alive by mosquitos and had several visits by either separate spiders or the same one. 

I might change my mind when I go back for the mussels, but I thought the food was pretty mediocre. I had heard so much about the frites, and eh. 

They ARE open 'till 12:30, though. I like that, so there's more chance to win me over. I'm a late night diner, and I'll be back to give it another shot.",2011-07-06 16:20:42
1624023,5XwI4KcwvWwByl3TEqq8fA,-3s52C4zL_DHRK0ULG6qtg,b4YPBSnqU5_L6TUz147Dow,3.0,0.0,0.0,0.0,"I think this is a place to go and get a sweeter breakfast or to enjoy a cup of coffee in the inside/outside seating with the windows open.

Wasn't super impressed but I think I just ordered the wrong type of crepe.",2010-09-06 14:27:47
4193194,S53k1N8dTCbxKcQUGGOHoA,-3s52C4zL_DHRK0ULG6qtg,VVHfqUeYyAA9FEsH-6PI2A,4.0,0.0,0.0,0.0,"I had a thai tea or something there made with honey and cardamom! OH DELISH!
To be honest it is the first time had something from here that stayed in my mind.",2012-02-02 04:18:08
2552352,1v8SFUc5sljKSRD2PslCng,-822bzeF5x6uOKSuTDgabA,sTPueJEwcRDj7ZJmG7okYA,1.0,0.0,0.0,0.0,"Visited on 7/19/12. My co-workers for the week raved about Jim's.  They told me to forget about the tourist traps of Geno's and Pat's and go to Jim's.   They were so sure of this recommendation that we left early for lunch and walked a bunch of blocks to Jim's on south street.  I ordered a Mushroom steak with provolone, when one of the looming individuals asked if I wanted onions, I said no.   Soooooo.... why did I get dirty looks from several individuals when THEY messed up and put onions on my sandwich ?!?!?!?!   They had an attitude but made the correction.  The sandwich was nothing to write home about !!  Note to self.... don't take anymore recommendations from said co-workers !! I would not go back here !",2012-07-30 22:11:00
6313710,IxEeRmHrz81ihT0rjWfMhg,-9OEoNjcLa9nBiu41nHiaQ,VAeEXLbEcI9Emt9KGYq9aA,4.0,0.0,0.0,0.0,"First, this is has a cool old-school atmosphere, and they even make their own sodas. 
Our server was friendly and helpful. And the menu basically breaks into two sections: German sausages and hamburgers. We tried both. 
The hamburger was better. The patty is on the thin side, but fresh beef and ingredients give it a good flavor. 
The sausages also had a good flavor, but were a little dry. The sauerkraut that came with them was very good. 
Overall, everything was above average although nothing was so outstanding it can't be missed. A solid choice for a burger.",2016-12-05 02:05:11
4649122,-SEqJLPcVkxpNLhXyRqRng,-EPKQnUGKt3D3tbXzUfqiA,OxBZqeYH5xuusEPp9ml7-g,1.0,1.0,0.0,0.0,"The worst. I see a lot of positive feedback for the hotdogs, but unfortunately, that's not what I had. I ate part of a chicken pastela (?) and then realized that it was not chicken. The employee I spoke with said it was a chicken product that they purchased at Costco and was made up of chicken parts. One of the most sickening things ever-it was sponge-like and awful. I puked and called the health department.",2013-09-13 21:34:38
5073381,gbn06hiWXx-9116Vt4evaA,-FxsSuwDbIII7yo5BjHpiA,DoYN9_pucSfhJwjI107Qug,2.0,1.0,0.0,0.0,"Sigh...I literally hate to update a review to less of a rating than what I originally rated.  HOWEVER,  I'm doing it.  It's New Year's Day. The only place open on Mass Ave is here,  and they have a great brunch. We just wanted drinks which is why we sat at the bar. The greeter was warm and made us feel welcome. There were two other staff members who were very cordial. I don't know what the problem was with the bartender. We sat down and told him we just wanted drinks. I asked him if they had a brand,  and he looked at me like I had three heads and said he'd never heard of it. Well,  check with your Mass Ave business neighbors because at least three of them carry it. I opted for a standard. After he served our first drinks,  he never asked us if we wanted anything again. I finally said,  ""Yo Adrian!"" to a lovely young lady who really is named Adrian and who was already working her butt off and asked her if I could get another drink. She got it for me. We had a total of three drinks in two hours. Then we had to ask for the check. This just really chaps me. It's unacceptable behavior and service. The worst part is I'm on here recounting this negative experience when so many of the staff are so nice. One bad potato stinks up the whole place.",2016-01-01 20:06:03
1378237,MOsqx-grB6sm41eb0V8Jpw,-G7Zkl1wIWBBmD0KRy_sCw,0Y5OG0uk8exyeYdqxKa1XA,4.0,46.0,29.0,43.0,"Devil's Acre Tavern is a very attractive reuse of an old roadhouse along Easton Road (Rt. 611), Plumsteadville, PA. It takes it name from the nearby Devil's Half Acre, originally a stone tavern built in the 18th Century close on the Delaware River that sold alcohol and other services to the river traffic navigating upstream and down in a time the the river was the primary means of transportation in this part of colonial America. In fact, they had no license to make nor sell alcohol, and the joint was a place where violence and shady characters abounded. Legend and history say there were many people killed there and buried in the backyard. 

Perhaps, to lessen the reliance on that unsavory history, the name was chosen without the word ""Half,"" but the connection is not lost on those aware of these facts. Still, it appears often enough in the menu and on the walls of the establishment to hint at the local lore. 

Luckily, this house is totally legit. Ownership has created an attractive utilitarian space, German American in nature, with excellent cross section of Deutsch brews, quality cocktails, reasonable happy hour choices and a strong kitchen. We stopped in on Saturday afternoon at the start of HH, and thoroughly enjoyed the entire experience. After a little confusion with our new server about availability of happy hour and where to sit to capture those prices, everything was resolved quickly and we waited for delivery to our dining room table of Three Onion Soup, Dragon Wings and Pierogi of the Day apps/sides, and two DHA Burgers and a DHA Dog. 

Everything was very good to terrific. My stepson wouldn't share his potage, so it must have been great. We all sampled the wings @$.50 per. They were not too big, but were amply meaty with a good sweet/hot glaze with sesame seeds sprinkled on top. The pierogi were the weak link. The dough was thick, too chewy and dominated the flavor of the seasoned veggies within. Ate one and took the rest home. Maybe sour cream would have helped. 

The burgers were huge with double patties, bacon, lettuce, red onion, and their DHA sauce. Both were past the medium well finish requested, but there was still plenty of flavor and moisture. I loved the double dog with chopped red onion, dark mustard and well done bacon in a fresh crisp torpedo roll. Great taste and texture. @$5 HH price it was a star of the show. 

Devil's Acre Tavern is a 35 minute drive from home, but when in the mood for German beer and cuisine it is well worth the trip. Tuesday Burger Night sounds like a winner, too.",2019-10-06 15:44:01
2207418,OzRx3w14Oyk6pvFPSbkOwg,-G7Zkl1wIWBBmD0KRy_sCw,sNP0PovNW1RQnfDQogOuVQ,2.0,4.0,0.0,0.0,"Reading through the more recent reviews of the Continental Tavern I had the impression that while most people liked the atmospherics, they were less enthused with the cuisine. While the two of us only had their ""Best of Bucks"" burgers, fries and soft drinks, we departed thinking we have had better elsewhere.",2013-01-07 03:12:28
1211999,z7ChNG6P5XO5paa5__PwCw,-G7Zkl1wIWBBmD0KRy_sCw,YOIZPPynvvZe9a5DVOMO-Q,3.0,5.0,1.0,1.0,"Opened this place Saturday morning @ 9.  It was nice to have a head start on what was to be a full house at Full Moon.  

Clayton, our host and server had his act together and brought all of us coffee as we perused the breakfast menu.  Various omelets for my family and friend, and French Toast for me.  While the conversation gathered momentum, the plates were brought out and laid before us.  Everything looked very good, although I only tasted the homemade Potato Chips, which were good.

My French Toast was off the mark, however. I had asked for it ""crunchy,"" and was told it would be left on the grill longer to make it all well done.  What came out with the real Maple Syrup were a half dozen pieces of French Demi Loaf that were actually lukewarm at best, and far from the cauterized ends I requested.  I was surprised given the repartee at the ordering.  They had not been on the grill long enough, and had been off the grill too long before serving. Wrong on both sides.  Disappointing, but not wanting to poop on the party I ate everything and enjoyed the real Maple Syrup. 

My mates were satisfied, and the gestalt of the room was pleasing. 

Three out of four ain't bad.",2014-11-11 21:45:20
2035067,usaoh9EVjXvmbOHZSnMfBQ,-GowNe73gDZs9MfS3ugJDQ,gFZCKS41Tb9pXxsmfVDj1Q,4.0,1.0,0.0,1.0,"Saw that these guys were setting up at my old high school today, so just had to stop by for lunch.  I love seeing the food trucks outside of the big summer events.  It may just be me, but I seldom encounter trucks just around town very often, and I love to jump at getting to stop by one in the ""food truck off-season"".  Beyond that, I also love, love, love Hawaiian food, so this is right up my alley.

Setup should be familiar to any food truck enthusiast.  These folks set up at different spots on different days, you walk up, place your order, and either take it to go or find a seat and enjoy your meal.  They have two or three main courses, some sides, as well as drinks.  Today I ended up going for the Kalua Pork platter, coming with rice and macaroni salad, along with a side order of their Asian slaw, all for like $12.  Good deal, for sure.

All in all, this is some of the best Kalua Pork I've had in our region.  These guys get top marks for that alone, and make me excited to try some of their other entrees when next I can track them down.  The macaroni salad was pretty good, with lots of garlic, though the addition of olives doesn't strike me as very ""island"", except maybe if you mean Mediterranean island.  The slaw was quite nice, too, with a light yet sweet sauce that really helped cut the richness of the pork.

If you are looking for good Hawaiian-style food, definitely give their webpage a look, check their calendar for upcoming locations, and keep an eye out at any big events or food truck gatherings in hopes that the Aloha Shack makes an appearance.

Mahalo, guys!",2018-02-03 21:02:03
